abbr,fips,full,geoid_data,NAMELSAD,total_pop,voting_pop,black_vote,hisp_vote,black_pop,hisp_total,prop_black_vote,prop_hisp_vote,total_pop_12,voting_pop_12,polls_2012,polls_2016,governor,conv_voting,shelby,prop_16,prop_12,change,prop
CA,06,California,05000US06023,Humboldt County,135182,108783,1379,9784,1603,14530,0.012676613073733948,0.08994052379507828,134317,107423,52,56,dem,57.9,FALSE,1942.5535714285713,2065.826923076923,-123.27335164835154,-5.967264259715592
CA,06,California,05000US06025,Imperial County,178807,127466,4277,101722,4856,147880,0.03355404578475829,0.798032416487534,173487,122952,58,49,dem,57.9,FALSE,2601.3469387755104,2119.862068965517,481.48486980999314,22.713028213432562
CA,06,California,05000US06027,Inyo County,18326,14554,156,2423,180,3867,0.01071870276212725,0.16648344097842518,18474,14554,6,6,dem,57.9,FALSE,2425.6666666666665,2425.6666666666665,0,0
CA,06,California,05000US06029,Kern County,871337,614580,34279,286617,48264,449747,0.05577630251553907,0.46636239382993266,839153,585484,141,152,dem,57.9,FALSE,4043.2894736842104,4152.368794326241,-109.07932064203078,-2.6269179363614272
CA,06,California,05000US06031,Kings County,150261,108930,7984,52731,9596,79862,0.07329477646194804,0.48408152024235745,151982,109797,32,33,dem,57.9,TRUE,3300.909090909091,3431.15625,-130.247159090909,-3.796013635080274
CA,06,California,05000US06033,Lake County,64076,51048,1050,7714,1395,12086,0.020568876351669017,0.15111267826359503,64360,50732,17,22,dem,57.9,FALSE,2320.3636363636365,2984.235294117647,-663.8716577540104,-22.245955574032518
CA,06,California,05000US06035,Lassen County,31945,26683,2816,5010,2845,5880,0.10553535959224974,0.18775999700183638,34628,28905,8,8,dem,57.9,FALSE,3335.375,3613.125,-277.75,-7.687251340598513
CA,06,California,05000US06037,Los Angeles County,10057155,7760370,655845,3439372,831313,4861648,0.08451207867666104,0.4431969094257104,9840024,7437670,2918,2809,dem,57.9,FALSE,2762.680669277323,2548.8930774503083,213.7875918270147,8.387468023604555
CA,06,California,05000US06039,Madera County,153366,110704,4288,55318,5102,86265,0.038733921086862265,0.4996928746928747,150615,107797,39,39,dem,57.9,FALSE,2838.5641025641025,2764.025641025641,74.53846153846143,2.6967355306733913
CA,06,California,05000US06041,Marin County,259358,206151,5104,28036,6075,40943,0.024758550771036763,0.13599739996410398,252759,200662,75,92,dem,57.9,FALSE,2240.771739130435,2675.4933333333333,-434.72159420289836,-16.24827798248666
CA,06,California,05000US06043,Mariposa County,17645,14727,207,1262,226,1789,0.014055815848441637,0.08569294493107897,18193,14991,17,17,dem,57.9,FALSE,866.2941176470588,881.8235294117648,-15.52941176470597,-1.7610566339803981
CA,06,California,05000US06047,Merced County,265001,185196,6801,97083,8902,152475,0.036723255361886864,0.5242175856929955,256398,175890,45,56,dem,57.9,FALSE,3307.0714285714284,3908.6666666666665,-601.5952380952381,-15.391316001072097
CA,06,California,05000US06049,Modoc County,9033,7221,75,906,82,1335,0.01038637307852098,0.12546738678853345,9545,7436,5,6,dem,57.9,FALSE,1203.5,1487.2,-283.70000000000005,-19.07611619150081
CA,06,California,05000US06051,Mono County,14051,11268,90,2511,90,3865,0.007987220447284345,0.22284345047923323,14181,11168,6,6,dem,57.9,FALSE,1878,1861.3333333333333,16.666666666666742,0.8954154727793737
CA,06,California,05000US06053,Monterey County,430201,316312,9667,161847,11488,247084,0.030561597410152002,0.511668858595311,416199,304908,81,83,dem,57.9,TRUE,3810.987951807229,3764.296296296296,46.69165551093283,1.2403820484820207
CA,06,California,05000US06055,Napa County,140823,109971,2322,31538,2943,47164,0.0211146575006138,0.2867846977839612,136644,105306,16,9,dem,57.9,FALSE,12219,6581.625,5637.375,85.6532391316734
